STT,key,id,day,start,count,room,teacher,class,member,name,weight,week
1000,CT277,01,2,1,3,303/DB,,CT27701,40,Hệ quản trị SQL,3,12**5678901234567***
1001,CT278,01,0,0,0,,,CT27801,10,Thực tập thực tế - THUD,2,12**5678901234567***
1002,CT301H,M01,6,1,3,CLC4DI,,DI17V7F1,40,An ninh mạng,3,12**5678901234567***
1003,CT301H,M02,3,6,3,CLC4DI,,DI17V7F2,40,An ninh mạng,3,12**5678901234567***
1004,CT310H,M01,4,6,3,CLC4DI,,DI17V7F1,40,Phát triển ứng dụng chuyên nghiệp với .NET,3,12**5678901234567***
1005,CT310H,M02,2,1,3,CLC1DI,,DI17V7F2,40,Phát triển ứng dụng chuyên nghiệp với .NET,3,12**5678901234567***
1006,CT311,01,5,1,2,303/C1,,CT31101,90,Phương pháp Nghiên cứu khoa học,2,12**5678901234567***
1007,CT311,02,4,1,2,203/DB,,CT31102,50,Phương pháp Nghiên cứu khoa học,2,12**5678901234567***
1008,CT311,03,3,6,2,202/KH,,CT31103,90,Phương pháp Nghiên cứu khoa học,2,12**5678901234567***
1009,CT311,04,3,8,2,201/NN,,CT31104,50,Phương pháp Nghiên cứu khoa học,2,12**5678901234567***
1010,CT311,05,3,1,2,206/KH,,CT31105,50,Phương pháp Nghiên cứu khoa học,2,12**5678901234567***
1011,CT311,H01,2,6,3,203HA5,,18V7A5,50,Phương pháp Nghiên cứu khoa học,2,12**5678901234567***
1012,CT312,01,6,6,3,207/C2,,CT31201,40,Khai khoáng dữ liệu,3,12**5678901234567***
1013,CT312H,M01,5,1,3,CLC4DI,,DI17V7F1,40,Lập trình cho các thiết bị di động,3,12**5678901234567***
1014,CT312H,M02,4,1,3,P12/DI,,DI17V7F2,40,Lập trình cho các thiết bị di động,3,12**5678901234567***
1015,CT316,01,3,1,3,HTXHNV,,CT31601,40,Xử lý Ảnh,3,12**5678901234567***
1016,CT332,01,4,1,3,116/A3,,CT33201,80,Trí tuệ nhân tạo,3,12**5678901234567***
1017,CT332,02,5,3,3,204/KH,,CT33202,40,Trí tuệ nhân tạo,3,12**5678901234567***
1018,CT332,03,2,1,3,101/C1,,CT33203,80,Trí tuệ nhân tạo,3,12**5678901234567***
1019,CT332,04,5,6,3,304/D1,,CT33204,40,Trí tuệ nhân tạo,3,12**5678901234567***
1020,CT332,05,5,1,3,108/C1,,CT33205,80,Trí tuệ nhân tạo,3,12**5678901234567***
1021,CT332,H01,2,2,4,304HA5,,18V7A5,60,Trí tuệ nhân tạo,3,12**5678901234567***
1022,CT335,01,2,6,3,405/TS,,CT33501,70,Thiết kế và cài đặt mạng,3,12**5678901234567***
1023,CT335,02,3,6,3,111/C2,,CT33502,70,Thiết kế và cài đặt mạng,3,12**5678901234567***
1024,CT335,03,2,1,3,306/C1,,CT33503,70,Thiết kế và cài đặt mạng,3,12**5678901234567***
1025,CT335,H01,6,6,3,104HA5,,17V7A5,60,Thiết kế và cài đặt mạng,3,**********1234567***
1026,CT335,H01,6,2,3,304HA5,,17V7A5,60,Thiết kế và cài đặt mạng,3,**********1234567***
1027,CT336,01,5,4,2,LT4/DI,,CT33601,40,Truyền thông đa phương tiện,2,12**5678901234567***
1028,CT338,01,6,1,2,305/D1,,CT33801,40,Mạng không dây và di động,2,12**5678901234567***
1029,CT344,01,3,4,2,LT3/DI,,CT34401,40,Giải quyết sự cố mạng,2,12**5678901234567***
1030,CT361,01,3,1,2,302/CN,,CT361001,80,Trường điện từ,2,12**5678901234567***
1031,CT361,02,6,1,2,302/CN,,CT361002,70,Trường điện từ,2,12**5678901234567***
1032,CT361,03,5,1,2,305/C1,,CT361003,60,Trường điện từ,2,12**5678901234567***
1033,CT363,01,3,3,3,308/CN,,CT363001,80,Kỹ thuật Anten và truyền sóng,3,12**5678901234567***
1034,CT370,01,4,4,2,201/D2,,CT370001,60,Thông tin viba và vệ tinh,2,12**5678901234567***
1035,CT371,01,6,3,3,205/B1,,CT371001,60,Mạng thông tin di động,3,12**5678901234567***
